Monitor_TubeLoc;Fly_Sex;Treatment;Status_dead0_alive1;Monitor
12T001;M;naive;0;12
12T002;M;naive;1;12
12T003;M;naive;1;12
12T004;M;naive;1;12
12T005;M;naive;1;12
12T006;F;naive;1;12
12T007;F;naive;1;12
12T008;F;naive;1;12
12T009;F;naive;1;12
12T010;F;naive;0;12
12T011;BLANK;BLANK;BLANK;12
12T012;M;heatkill;1;12
12T013;M;heatkill;0;12
12T014;M;heatkill;1;12
12T015;M;heatkill;1;12
12T016;M;heatkill;0;12
12T017;F;heatkill;0;12
12T018;F;heatkill;0;12
12T019;F;heatkill;1;12
12T020;F;heatkill;0;12
12T021;F;heatkill;0;12
12T022;BLANK;BLANK;BLANK;12
12T023;M;PBS;0;12
12T024;M;PBS;0;12
12T025;M;PBS;0;12
12T026;M;PBS;1;12
12T027;M;PBS;0;12
12T028;F;PBS;1;12
12T029;F;PBS;0;12
12T030;F;PBS;0;12
12T031;F;PBS;1;12
12T032;F;PBS;1;12
13T001;M;Pentomophila;0;13
13T002;M;Pentomophila;0;13
13T003;M;Pentomophila;0;13
13T004;M;Pentomophila;1;13
13T005;M;Pentomophila;0;13
13T006;F;Pentomophila;1;13
13T007;F;Pentomophila;1;13
13T008;F;Pentomophila;1;13
13T009;F;Pentomophila;1;13
13T010;F;Pentomophila;1;13
13T011;BLANK;BLANK;BLANK;13
13T012;M;heatkill;0;13
13T013;M;heatkill;1;13
13T014;M;heatkill;1;13
13T015;M;heatkill;0;13
13T016;M;heatkill;0;13
13T017;F;heatkill;1;13
13T018;F;heatkill;1;13
13T019;F;heatkill;0;13
13T020;F;heatkill;1;13
13T021;F;heatkill;1;13
13T022;BLANK;BLANK;BLANK;13
13T023;M;naive;0;13
13T024;M;naive;0;13
13T025;M;naive;0;13
13T026;M;naive;0;13
13T027;M;naive;0;13
13T028;F;naive;1;13
13T029;F;naive;0;13
13T030;F;naive;1;13
13T031;F;naive;1;13
13T032;F;naive;0;13
14T001;M;Pentomophila;0;14
14T002;M;Pentomophila;0;14
14T003;M;Pentomophila;1;14
14T004;M;Pentomophila;0;14
14T005;M;Pentomophila;1;14
14T006;F;Pentomophila;1;14
14T007;F;Pentomophila;1;14
14T008;F;Pentomophila;1;14
14T009;F;Pentomophila;1;14
14T010;F;Pentomophila;1;14
14T011;BLANK;BLANK;BLANK;14
14T012;M;PBS;0;14
14T013;M;PBS;0;14
14T014;M;PBS;1;14
14T015;M;PBS;0;14
14T016;M;PBS;1;14
14T017;F;PBS;1;14
14T018;F;PBS;0;14
14T019;F;PBS;0;14
14T020;F;PBS;1;14
14T021;F;PBS;1;14
14T022;BLANK;BLANK;BLANK;14
14T023;M;heatkill;1;14
14T024;M;heatkill;1;14
14T025;M;heatkill;0;14
14T026;M;heatkill;1;14
14T027;M;heatkill;0;14
14T028;F;heatkill;1;14
14T029;F;heatkill;0;14
14T030;F;heatkill;1;14
14T031;F;heatkill;1;14
14T032;F;heatkill;0;14
15T001;M;Pentomophila;1;15
15T002;M;Pentomophila;1;15
15T003;M;Pentomophila;1;15
15T004;M;Pentomophila;0;15
15T005;M;Pentomophila;0;15
15T006;F;Pentomophila;0;15
15T007;F;Pentomophila;0;15
15T008;F;Pentomophila;1;15
15T009;F;Pentomophila;0;15
15T010;F;Pentomophila;0;15
15T011;BLANK;BLANK;BLANK;15
15T012;M;PBS;1;15
15T013;M;PBS;0;15
15T014;M;PBS;1;15
15T015;M;PBS;1;15
15T016;M;PBS;1;15
15T017;F;PBS;1;15
15T018;F;PBS;1;15
15T019;F;PBS;1;15
15T020;F;PBS;0;15
15T021;F;PBS;0;15
15T022;BLANK;BLANK;BLANK;15
15T023;M;naive;1;15
15T024;M;naive;1;15
15T025;M;naive;0;15
15T026;M;naive;0;15
15T027;M;naive;0;15
15T028;F;naive;1;15
15T029;F;naive;0;15
15T030;F;naive;0;15
