"Treatment","Fly_Sex","active_to_active","active_to_inactive","inactive_to_active","inactive_to_inactive","n_flies","total_active","total_inactive","p_aa","p_ai","p_ia","p_ii"
"naive","Female",22151,2894,2897,13863,30,25045,16760,0.884447993611499,0.115552006388501,0.172852028639618,0.827147971360382
"naive","Male",15199,2653,2658,22605,30,17852,25263,0.851389200089626,0.148610799910374,0.105213157582235,0.894786842417765
"injured","Female",14596,2856,2867,19489,29,17452,22356,0.836351134540454,0.163648865459546,0.128242977276794,0.871757022723206
"injured","Male",6462,1477,1488,21108,24,7939,22596,0.813956417684847,0.186043582315153,0.0658523632501328,0.934147636749867
"immune stimulated","Female",14039,2695,2703,19944,28,16734,22647,0.838950639416756,0.161049360583244,0.119353556762485,0.880646443237515
"immune stimulated","Male",6612,1908,1920,22754,27,8520,24674,0.776056338028169,0.223943661971831,0.0778147037367269,0.922185296263273
"infected (acute)","Female",1880,514,516,5339,8,2394,5855,0.785296574770259,0.214703425229741,0.088129803586678,0.911870196413322
"infected (acute)","Male",965,297,303,7257,9,1262,7560,0.764659270998415,0.235340729001585,0.0400793650793651,0.959920634920635
"infected (chronic)","Female",10010,2096,2104,14411,20,12106,16515,0.826862712704444,0.173137287295556,0.127399333938843,0.872600666061156
"infected (chronic)","Male",6474,1574,1583,19065,20,8048,20648,0.804423459244533,0.195576540755467,0.0766660209221232,0.923333979077877
